,DJ Name,Mean Ranking,Num Years,Num Sampled,Bayesian Ranking
295,TJR,80.0,1,9,57.411893203883494
296,3lau,81.0,1,6,57.661893203883494
297,Don Diablo,18.272727272727273,11,8,25.04625520110957
298,Wolfpack,51.714285714285715,7,4,51.1647572815534
299,Quintino,40.09090909090909,11,7,42.18911234396671
300,Borgeous,80.5,2,4,62.129514563106795
301,Audien,88.0,1,2,59.411893203883494
304,The Chainsmokers,36.6,10,67,39.66519790888723
305,Axwell Λ Ingrosso,23.75,4,9,34.949653259361995
306,KSHMR,14.4,10,88,22.588274831964153
307,Kygo,34.714285714285715,7,12,39.2647572815534
308,Bassjackers,33.1,10,2,36.972890216579536
309,Alok,13.3,10,5,21.742120985810306
312,Major Lazer,47.666666666666664,3,105,48.774595469255665
313,DJ Chetas,46.0,2,1,48.3295145631068
314,Danny Avila,45.888888888888886,9,1,46.88729773462783
315,tchami,79.66666666666667,3,1,64.77459546925566
316,Disclosure,82.5,2,31,62.92951456310679
317,Yellow Claw,62.0,6,4,57.96084142394822
318,Will Sparks,65.375,8,2,61.14977934686672
319,Flux Pavilion,86.0,1,13,58.911893203883494
320,Robin Schulz,79.16666666666667,6,13,69.40528586839267
323,Tujamo,53.2,10,10,52.434428678117996
325,Galantis,67.66666666666667,3,33,58.774595469255665
326,Marshmello,19.11111111111111,9,45,26.803964401294497
329,Vintage Culture,25.333333333333332,9,1,31.470631067961165
330,Alan Walker,24.88888888888889,9,21,31.137297734627833
331,Timmy Trumpet,22.444444444444443,9,5,29.303964401294497
332,Martin Jensen,62.75,4,1,57.23536754507628
333,Jauz,78.0,2,4,61.129514563106795
335,Sam Feldt,81.0,2,1,62.3295145631068
336,Jay Hardway,83.8,5,3,71.08094660194175
337,Flume,90.5,2,29,66.1295145631068
338,Daddy's Groove,89.66666666666667,3,1,69.77459546925566
339,Lost Frequencies,22.375,8,5,29.877052074139453
340,Mike Williams,68.42857142857143,7,1,62.864757281553395
341,Lucas & Steve,78.33333333333333,6,1,68.84973031283711
343,Claptone,43.375,8,1,45.14977934686672
344,Vini Vici,32.125,8,1,36.96796116504854
346,Solomun,90.33333333333333,6,1,76.84973031283711
348,Black Coffee,60.285714285714285,7,4,57.1647572815534
349,Alison Wonderland,62.0,6,3,57.96084142394822
356,Breathe Carolina,68.6,5,6,61.58094660194175
357,Deniz Koyu,75.5,4,4,64.52108183079056
