,DJ Name,Mean Ranking,Num Years,Num Sampled from,Num Sampled by
279,DJs From Mars,95.0,1,1,1213
280,Ummet Ozcan,45.09090909090909,11,2,14
281,Deorro,55.0,6,8,14
282,DVBBS,25.142857142857142,7,5,6
283,Oliver Heldens,14.272727272727273,11,5,25
284,Borgore,61.666666666666664,3,2,11
285,Kura,56.36363636363637,11,0,3
286,Yves V,52.4,5,0,14
287,Firebeatz,66.33333333333333,3,2,17
288,Gabry Ponte,61.0,1,3,55
289,VINAI,42.36363636363637,11,6,9
290,MAKJ,73.0,2,4,9
291,Radical Redemption,66.16666666666667,6,0,6
292,DJ Snake,32.27272727272727,11,88,33
293,Carnage,79.5,4,2,16
294,Zomboy,77.0,1,18,43
295,TJR,80.0,1,9,14
296,3lau,81.0,1,6,106
297,Don Diablo,18.272727272727273,11,8,48
298,Wolfpack,51.714285714285715,7,4,4
299,Quintino,40.09090909090909,11,7,17
300,Borgeous,80.5,2,4,2
301,Audien,88.0,1,2,1
302,Code Black,92.0,1,0,4
303,Merk & Kremont,94.0,1,0,7
304,The Chainsmokers,36.6,10,67,15
305,Axwell Λ Ingrosso,23.75,4,9,4
306,KSHMR,14.4,10,88,14
307,Kygo,34.714285714285715,7,12,11
308,Bassjackers,33.1,10,2,15
309,Alok,13.3,10,5,28
310,Jack U,42.5,2,0,0
311,Tom Swoon,49.666666666666664,3,0,1
312,Major Lazer,47.666666666666664,3,105,70
313,DJ Chetas,46.0,2,1,50
314,Danny Avila,45.888888888888886,9,1,6
315,tchami,79.66666666666667,3,1,17
316,Disclosure,82.5,2,31,42
317,Yellow Claw,62.0,6,4,24
318,Will Sparks,65.375,8,2,6
319,Flux Pavilion,86.0,1,13,16
320,Robin Schulz,79.16666666666667,6,13,10
321,MaRLo,79.0,4,0,0
322,Miss K8,71.25,8,0,20
323,Tujamo,53.2,10,10,15
324,Swanky Tunes,78.6,5,0,3
325,Galantis,67.66666666666667,3,33,30
326,Marshmello,19.11111111111111,9,45,32
327,Florian Picasso,73.16666666666667,6,0,0
328,Lost Stories,52.0,1,0,0
329,Vintage Culture,25.333333333333332,9,1,14
330,Alan Walker,24.88888888888889,9,21,12
331,Timmy Trumpet,22.444444444444443,9,5,36
332,Martin Jensen,62.75,4,1,7
333,Jauz,78.0,2,4,14
334,Carl Nunes,80.25,4,0,0
335,Sam Feldt,81.0,2,1,10
336,Jay Hardway,83.8,5,3,0
337,Flume,90.5,2,29,17
338,Daddy's Groove,89.66666666666667,3,1,7
339,Lost Frequencies,22.375,8,5,1
340,Mike Williams,68.42857142857143,7,1,2
341,Lucas & Steve,78.33333333333333,6,1,15
342,Warface,70.0,2,0,7
343,Claptone,43.375,8,1,21
344,Vini Vici,32.125,8,1,8
345,Cat Dealers,64.75,8,0,6
346,Solomun,90.33333333333333,6,1,10
347,Mariana Bo,51.625,8,0,4
348,Black Coffee,60.285714285714285,7,4,2
349,Alison Wonderland,62.0,6,3,3
350,Maceo Plex,91.0,1,0,14
351,Carta,69.5,6,0,1
352,Julian Jordan,73.57142857142857,7,0,0
353,DJ L,91.0,2,0,0
354,Jeffrey Sutorius,52.0,1,0,0
355,MATTN,62.0,5,0,6
356,Breathe Carolina,68.6,5,6,5
357,Deniz Koyu,75.5,4,4,4
358,Mosimann,81.0,1,0,3
359,NGHTMRE,83.0,1,2,23
360,Marco Carola,90.66666666666667,3,0,0
361,Cedric Gervais,81.5,2,4,6
362,Nina Kraviz,69.25,4,1,2
363,Rave Republic,91.57142857142857,7,0,0
364,SLANDER,100.0,1,0,6
365,FISHER,43.2,5,13,8
366,Illenium,53.5,2,14,14
367,3 Are Legend,66.0,2,0,0
368,Charlotte de Witte,29.5,6,0,3
369,Peggy Gou,38.333333333333336,6,3,5
370,Tom & Collins,76.4,5,0,3
371,Boris Brejcha,59.666666666666664,6,0,0
372,Solardo,88.0,1,2,15
373,Sub Zero Project,95.0,1,0,3
374,D.O.D,86.0,3,0,7
375,Henri PFR,97.0,1,0,3
376,REZZ,59.8,5,0,5
377,Amelie Lens,42.2,5,0,0
378,Jamie Jones,43.2,5,0,7
379,Nora En Pure,61.4,5,1,19
380,TBC - marek,76.0,1,0,0
381,Mr Pig,80.0,3,0,3
382,Pink Panda,80.0,5,0,4
383,Plastik Funk,78.0,5,5,11
384,Green Velvet,83.0,3,10,11
385,Sunnery James & Ryan Marciano,90.0,3,0,6
386,Aryue,85.0,5,0,0
387,Burak Yeter,75.6,5,0,4
388,Tungevaag,83.8,5,0,3
